name,url
Liquidsoap,https://www.liquidsoap.info
,http://radio.audiomastering.lt
,https://radiovilnius.live
,https://raionoradio.lt
,http://radijas.mekas.lt
,https://www.staticmultimedianetwork.net
,https://retail-radio.co.uk/
,radiobip.fr
,Kpiss.fm
,www.cffradio.com
,https://eastanbul.com
,tehiku.nz
,https://lahmacun.hu
,https://markitnl.com/
,Https://gargoyle.co.za 
,https://www.radioprimitive.fr
,soundstack.com
,https://soundstack.com
,https://blues-radio.co.uk/
,https://dialradio.live
,radiofrance.fr
,turbozone.org
,https://radio-calico.com/
,redio.co
,https://jena.city
,https://azuracast.com/
,https://4themusic.club
,https://gilouweb.com
,https://wiki.debian.org/KyleRobbertze
,schopenhauer.fm
,https://coma.omfm.ru
