time,firstname,lastname,title,abstract,kind,slides,youtube
12:00,Romain,Beauxis,Liquidsoap news,,regular,slides/beauxis.pdf,j9_b80di6Nw
12:30,Martin,Kirchgessner,Liquidsoap goes RESTful,"I will present the RadioZ automation system and review its liquidsoap script, focusing on HTTP endpoints. Because we don't see enough HTTP endpoints implemented in Liquidsoap.",regular,https://mkir.ch/presentations/2025-06-13-Liquidshop5-MyLiquidsoapIsRestful.html,Z5iAFurdA_8
13:00,Romain,Beauxis,Installing Liquidsoap from scratch,,regular,,IRnSh1LL2hw
13:30,Nicholas,Simoneaux,Liquidsoap in Action: Turbozone.org & WHIV,Discussing current implementation of Liquidsoap in local New Orleans radio and IP based radio.,showcase,slides/simoneaux.pdf,ga8ysp1Z0G0 
13:45,Vladimir,Lemus,Using liquidsoap for cultural community radio: Alicia radio,"The ""Multiforo Cultural Alicia"" is an independet cultural forum. Music, literature, dance, movies, theatre and different cultural expressions have an space in this ""underground culture laboratory"". Since last year, besides its new site, it has a community internet radio station, ""Alicia radio"", broadcasting some of the music and art recordings made during a 30 year history. The radio is still growing, at this moment we are plannig the next steps, Alicia radio is an extension of he cultural effort made by this space, willing to get beyond Mexico city with the help of the internet radio. The whole radio is made possible by using liquidsoap.",showcase,slides/lemus.pdf,RgY7iIxYTv4
14:00,Simon,Thorpe,"Echo Radio, waking up to your favorite breakfast show","I am an Englishman living in San Francisco, and I miss my local radio. I can stream them online, but it's always in the timezone of the source. For years I want to replay these streams in my local time zone and after finding Liquidsoap, I could do just that! I started with a simple script and then ended up wrapping the whole thing with a Python Flask app and publishing as a Docker image so others can benefit.",showcase,slides/thorpe.pdf,UV3NvBWmRIQ
14:15,Sheri,Barclay,Kpiss 2025,Showcasing our internet radio community.,showcase,,M02krODd9Zs
14:30,,,End of the workshop,,break,,
