name,url
Radio Calico,https://www.radio-calico.com/
Aura,https://aura.radio/
Radiotomate,https://radiotomate.org/
Gargoyle,https://gargoyle.co.za/
Nexus,https://www.nexus.org/
Exploradio,https://exploradio.fr/
Dial Radio,https://dialradio.live/
Taifuun FM,https://taifuun.eu/
Station Manager 2,https://stationmanager.tech/
LiveATC,https://www.liveatc.net/
Eastanbul,https://eastanbul.com/
Fremen,https://fremen.fi/
omFM,https://omfm.ru/
Live365,https://live365.com/
Radio BIP,https://radiobip.fr/
Mikulski,https://mikulski.rocks/
Azuracast,https://azuracast.com/
Freedrull,https://freedrull.online/
Skyrock,https://skyrock.fm/
