time,firstname,lastname,slides,url,title,abstract,kind,youtube
12:00,Romain,Beauxis,beauxis.pdf,https://www.liquidsoap.info/,Liquidsoap 2.5.x: What's New,Latest news about Liquidsoap.,regular,
12:30,Matthew,Hine,hine.pdf,https://stationmanager.tech/,Station Manager 2 - Configurable Automated Netradio,"Using Liquidsoap's tools to create flexible, scheduled, multi-show, playlist-driven netradio stations that are customized entirely through json configuration files.",tech,
13:00,Attila,Györffy,gyorffy.pdf,https://www.attilagyorffy.com/,Do you know what's actually on air? End-to-end testing for Liquidsoap radio pipelines,"This talk presents a practical approach to end-to-end testing for Liquidsoap-based radio pipelines, focusing on how to verify what listeners actually hear rather than relying only on metadata or event-level assertions. It will cover the motivation, method, and lessons learned from testing real stream output.",tech,
13:30,Seva,Mikulski,,https://mikulski.rocks/,Mikulski_24/7: original music video playlist + live,"My simple but effective setup, created with no programming experience (well, almost).",showcase,
13:45,Tony,Miller,,https://freedrull.online/,HLS streaming with Liquidsoap,How we implemented rtmp streaming with liquidsoap and kept backwards compatibility with icecast clients.,showcase,
14:00,Vladimir,Lemus,lemus.pdf,https://automata.bearblog.dev/,Radio autómata (automaton radio) a future science and community radio station,"For almost three years, with a few isolated transmissions during pandemia, ""radio autómata"" is an internet radio station initially created to support online courses. The attempts weren't succesufull, but we are trying new ideas to become a community radio around science and education. We'll present how it's working at the moment and the future plans.",showcase,
14:15,Sheroi,Barclay,,https://kpiss.fm/,KPISS new location + remote training,We will be explaining our new space and our mission for the community both in the know and new people.,showcase,
14:30,,,,,Interactive Q&A,,workshop,
15:00,,,,,End of the workshop,,break,
